loan_id,customer_id,branch_id,loan_type,loan_amount,interest_rate,loan_term_months,emi_amount,loan_status,approval_date,disbursed_amount,remaining_balance
L001,C001,B452,Education Loan,2261792,12.4,300,30911.16,Default,2022-08-31,2261792,1728020
L002,C002,B215,Car Loan,711529,8.2,240,7826.82,Closed,2026-02-27,711529,143902
L003,C003,B246,Education Loan,4760522,13.5,240,73391.38,Default,2022-10-24,4760522,3012450
L004,C004,B139,Car Loan,3085967,14.3,180,53918.7,Active,2025-06-22,3085967,1628989
L005,C005,B030,Personal Loan,2874938,12.0,24,148538.46,Pending,2024-01-24,2874938,1178317
L006,C006,B337,Car Loan,2152550,14.8,36,86341.17,Pending,2023-08-16,2152550,1039587
L007,C007,B295,Personal Loan,4676912,13.6,24,247876.34,Pending,2023-09-14,4676912,1840557
L008,C008,B358,Business Loan,1657202,8.8,180,21359.49,Active,2023-04-23,1657202,1547918
L009,C009,B486,Car Loan,3150123,14.6,48,103954.06,Default,2025-12-12,3150123,2361849
L010,C010,B047,Home Loan,4747670,9.8,300,54598.2,Closed,2024-05-10,4747670,318462
L011,C011,B170,Education Loan,2035502,7.6,300,19676.52,Closed,2025-11-18,2035502,1433
L012,C012,B031,Home Loan,1294625,10.1,48,37867.78,Closed,2022-06-06,1294625,678614
L013,C013,B192,Personal Loan,1388268,13.3,180,23099.24,Active,2025-12-18,1388268,152109
L014,C014,B375,Personal Loan,3023278,9.8,48,87675.06,Default,2023-09-06,3023278,660619
L015,C015,B341,Education Loan,2861566,8.8,180,36882.41,Closed,2022-09-25,2861566,936324
L016,C016,B091,Home Loan,3374115,9.8,120,55672.9,Default,2025-01-20,3374115,534137
L017,C017,B328,Education Loan,4960390,7.7,180,59386.89,Active,2023-01-19,4960390,1853003
L018,C018,B178,Business Loan,4362301,8.6,36,152438.18,Closed,2022-12-12,4362301,1996454
L019,C019,B006,Business Loan,944287,13.7,180,16026.65,Closed,2022-06-08,944287,468325
L020,C020,B403,Home Loan,2293300,12.7,180,37011.31,Active,2025-05-13,2293300,1076501
L021,C021,B453,Personal Loan,603890,10.4,240,7749.92,Default,2025-03-02,603890,174418
L022,C022,B425,Personal Loan,3376871,10.1,240,42492.29,Closed,2024-02-20,3376871,425422
L023,C023,B011,Business Loan,1564461,10.9,24,79396.4,Pending,2026-01-22,1564461,618468
L024,C024,B083,Home Loan,1078497,8.1,48,29748.54,Active,2023-07-12,1078497,787392
L025,C025,B016,Personal Loan,3034934,12.0,300,40465.79,Closed,2023-11-22,3034934,2954906
L026,C026,B106,Car Loan,3842336,8.7,36,134588.49,Default,2024-02-13,3842336,1388711
L027,C027,B153,Car Loan,4848231,12.9,120,92520.41,Active,2025-09-16,4848231,2361586
L028,C028,B028,Business Loan,616372,10.4,300,7396.46,Active,2024-04-05,616372,161050
L029,C029,B050,Home Loan,3787018,8.2,300,38501.35,Closed,2025-08-11,3787018,837496
L030,C030,B433,Home Loan,1633044,12.3,36,62101.03,Pending,2024-05-13,1633044,993149
L031,C031,B329,Education Loan,3534197,11.0,120,61848.45,Default,2023-03-13,3534197,382255
