payment_id,loan_id,payment_date,payment_amount,payment_mode,late_fee,payment_status
P001,L001,2025-09-25,31980,Cash,0,Pending
P002,L002,2025-03-04,43886,Bank Transfer,500,Pending
P003,L003,2026-03-31,42175,Card,0,Paid
P004,L004,2024-06-30,22039,Card,500,Pending
P005,L005,2024-06-18,23883,UPI,0,Pending
P006,L006,2024-12-06,23637,Bank Transfer,0,Paid
P007,L007,2025-09-15,40082,Cash,0,Paid
P008,L008,2025-02-13,48670,Card,0,Paid
P009,L009,2025-07-25,12662,UPI,0,Paid
P010,L010,2024-09-30,33894,Cash,0,Paid
P011,L011,2025-12-24,18445,UPI,0,Pending
P012,L012,2024-08-20,14695,Cash,500,Paid
P013,L013,2026-01-24,39972,Cash,0,Paid
P014,L014,2024-07-13,31513,Bank Transfer,0,Pending
P015,L015,2025-05-03,25985,Card,0,Pending
P016,L016,2026-03-04,47417,Cash,500,Pending
P017,L017,2024-10-08,42599,Card,1000,Pending
P018,L018,2025-06-15,27196,UPI,500,Paid
P019,L019,2026-01-16,14137,UPI,0,Paid
P020,L020,2026-04-28,31321,Card,500,Pending
P021,L021,2025-09-14,11060,Cash,0,Paid
P022,L022,2025-03-08,43235,Card,0,Paid
P023,L023,2026-04-24,6477,UPI,1000,Pending
P024,L024,2026-04-13,49372,UPI,1000,Pending
P025,L025,2026-02-10,17743,Bank Transfer,0,Paid
P026,L026,2024-08-27,48697,Cash,500,Paid
P027,L027,2025-11-20,33025,Cash,500,Pending
P028,L028,2026-04-01,5798,Cash,0,Pending
P029,L029,2026-02-19,25190,Bank Transfer,1000,Paid
P030,L030,2025-05-08,19135,Bank Transfer,500,Pending
P031,L031,2024-07-07,23915,Card,500,Pending
P032,L032,2026-03-17,14146,UPI,0,Paid
P033,L033,2026-04-11,24872,Bank Transfer,1000,Pending
P034,L034,2025-08-07,9332,Bank Transfer,0,Paid
P035,L035,2025-04-22,31834,Cash,500,Paid
P036,L036,2025-10-20,41425,Bank Transfer,1000,Paid
P037,L037,2024-12-05,18058,Card,500,Pending
P038,L038,2024-09-25,41298,Bank Transfer,0,Pending
P039,L039,2024-07-05,43352,Cash,500,Pending
P040,L040,2025-06-18,19714,UPI,0,Paid
P041,L041,2026-03-02,22214,Cash,500,Paid
P042,L042,2024-12-09,47848,Cash,500,Paid
P043,L043,2025-08-22,37236,Card,0,Paid
P044,L044,2026-02-12,23167,Bank Transfer,0,Pending
P045,L045,2026-01-20,43080,Bank Transfer,1000,Pending
P046,L046,2024-09-18,21902,Bank Transfer,0,Pending
P047,L047,2025-07-12,38588,UPI,0,Paid
P048,L048,2026-05-12,43119,UPI,0,Pending
P049,L049,2025-08-16,35214,Card,0,Paid
P050,L050,2026-02-20,8466,Cash,0,Pending
P051,L051,2025-03-31,46697,Cash,0,Pending
P052,L052,2024-05-17,24114,UPI,1000,Paid
P053,L053,2026-02-18,46158,Card,0,Paid
P054,L054,2025-03-03,40632,Cash,0,Pending
P055,L055,2024-09-27,22790,Cash,0,Pending
P056,L056,2025-09-18,14418,UPI,0,Pending
P057,L057,2025-10-25,29445,Bank Transfer,500,Pending
P058,L058,2025-12-02,15684,UPI,0,Paid
P059,L059,2024-12-24,37989,Card,0,Paid
P060,L060,2025-09-07,32351,Bank Transfer,0,Paid
P061,L061,2024-12-16,13600,UPI,500,Pending
P062,L062,2025-03-20,25419,Cash,0,Pending
P063,L063,2024-08-13,44167,Cash,0,Pending
